[38.79764, -77.01739]
[38.79793, -77.01791]
[38.79822, -77.01833]
[38.79858, -77.01874]
[38.79904, -77.01914]
[38.8005, -77.02031]
[38.80137, -77.02091]
[38.80148, -77.02101]
[38.80208, -77.02138]
[38.80289, -77.02176]
[38.8038, -77.02207]
[38.80443, -77.02224]
[38.80523, -77.02234]
[38.80587, -77.0224]
[38.80902, -77.02239]
[38.80976, -77.0223]
[38.81042, -77.02213]
[38.81092, -77.02193]
[38.81144, -77.02166]
[38.81393, -77.02007]
[38.81568, -77.01896]
[38.81672, -77.0184]
[38.81769, -77.01794]
[38.81873, -77.01754]
[38.81965, -77.01724]
[38.82071, -77.01695]
[38.82159, -77.01677]
[38.8227, -77.01663]
[38.82385, -77.01654]
[38.82482, -77.01653]
[38.82691, -77.01657]
[38.82776, -77.01654]
[38.82814, -77.01648]
[38.82868, -77.0163]
[38.82917, -77.01603]
[38.82986, -77.01554]
[38.83811, -77.00917]
[38.83884, -77.00871]
[38.83936, -77.00847]
[38.83978, -77.00834]
[38.84327, -77.00748]
[38.84405, -77.00734]
[38.84483, -77.00725]
[38.84966, -77.00717]
[38.85013, -77.00713]
[38.85085, -77.00697]
[38.85119, -77.00684]
[38.85168, -77.00659]
[38.85395, -77.0053]
[38.8568, -77.00407]
[38.85784, -77.00366]
[38.86035, -77.00285]
[38.86077, -77.00264]
[38.86117, -77.00237]
[38.86165, -77.00192]
[38.86198, -77.00152]
[38.86232, -77.00102]
[38.86263, -77.00039]
[38.86285, -76.99975]
[38.86298, -76.99927]
[38.86385, -76.99486]
[38.86402, -76.99432]
[38.86422, -76.99382]
[38.8644, -76.99346]
[38.86465, -76.99303]
[38.86497, -76.99258]
[38.86529, -76.9922]
[38.86565, -76.99187]
[38.86622, -76.99141]
[38.86634, -76.99138]
[38.86718, -76.99078]
[38.86767, -76.99038]
[38.86818, -76.98987]
[38.8686, -76.98938]
[38.86917, -76.98861]
[38.86937, -76.98845]
[38.86967, -76.9883]
[38.86992, -76.98826]
[38.87021, -76.9883]
[38.87048, -76.98844]
[38.87069, -76.98859]
[38.87089, -76.98875]
[38.87149, -76.9892]
[38.87306, -76.99048]
[38.87344, -76.99069]
[38.87387, -76.99087]
[38.87426, -76.99095]
[38.87477, -76.99097]
[38.87688, -76.99075]
[38.87724, -76.9908]
[38.87744, -76.99089]
[38.87769, -76.9911]
[38.87785, -76.9913]
[38.87799, -76.99159]
[38.87811, -76.992]
[38.87869, -76.99452]
[38.87909, -76.99635]
[38.87964, -76.99846]
[38.88082, -77.00277]
[38.8809, -77.00328]
[38.88097, -77.00413]
[38.88103, -77.00624]
[38.8811, -77.00685]
[38.88119, -77.00728]
[38.88227, -77.01117]
[38.88242, -77.01195]
[38.8825, -77.01266]
[38.88252, -77.01625]
[38.88252, -77.02085]
[38.88261, -77.02247]
[38.88269, -77.02263]
[38.88271, -77.02272]
[38.88275, -77.02369]
[38.88277, -77.02516]
[38.88279, -77.02607]
[38.88277, -77.02645]
[38.88276, -77.0269]
[38.88273, -77.02703]
[38.8826, -77.02818]
[38.88255, -77.02877]
[38.88256, -77.02932]
[38.88261, -77.0297]
[38.88275, -77.03034]
[38.88285, -77.03063]
[38.88293, -77.0307]
[38.88329, -77.03164]
[38.88414, -77.0332]
[38.88436, -77.03356]
[38.88446, -77.03373]
[38.88461, -77.03377]
[38.88481, -77.03397]
[38.8854, -77.03442]
[38.8859, -77.03467]
[38.88622, -77.03482]
[38.88654, -77.03502]
[38.88668, -77.03516]
[38.88695, -77.03538]
[38.88717, -77.03573]
